token:16781129 lambda:0.999860
token:50351804 lambda:0.000017
token:16794892 lambda:0.000046
token:16792164 lambda:0.001340
token:16819272 lambda:0.000500
token:16791016 lambda:0.106673
token:16824457 lambda:0.000237
token:50353376 lambda:0.000001
token:50342453 lambda:0.330243
token:16808589 lambda:0.000121
token:16814938 lambda:0.000256
token:16789735 lambda:0.000072
token:16803670 lambda:0.963624
token:16848356 lambda:0.000052
token:16850857 lambda:0.003543
token:16798585 lambda:0.001802
token:16782659 lambda:0.001736
token:50333205 lambda:0.000066
token:16790701 lambda:0.112376
token:50338014 lambda:0.002649
token:50345404 lambda:0.000627
token:33561658 lambda:0.000268
token:16791411 lambda:0.000001
token:16779876 lambda:0.000775
token:16784090 lambda:0.000688
token:16782986 lambda:0.671734
token:16828148 lambda:0.000164
token:16786509 lambda:0.003414
token:16849861 lambda:0.000014
token:16813527 lambda:0.000500
token:16811081 lambda:0.002376
token:16785643 lambda:0.003688
token:16781668 lambda:0.078495
token:16795159 lambda:0.004620
token:50345470 lambda:0.000316
token:16786158 lambda:0.000331
token:16824299 lambda:0.000665
token:16830082 lambda:0.000134
token:16786523 lambda:0.255352
token:16864765 lambda:0.000001
token:16804052 lambda:0.005612
token:16790163 lambda:0.000443
token:16796275 lambda:0.000713
token:50337485 lambda:0.000079
token:16814121 lambda:0.005728
token:16796860 lambda:0.300958
token:16802763 lambda:0.553528
token:50344471 lambda:0.001467
token:16796163 lambda:0.000127
token:16833586 lambda:0.000753
token:16790268 lambda:0.000580
token:16800995 lambda:0.001016
token:16788896 lambda:0.000693
token:16778648 lambda:0.998593
token:16787218 lambda:0.000071
token:16812875 lambda:0.000449
token:16806616 lambda:0.000174
token:50358501 lambda:0.660388
token:16815277 lambda:0.000210
token:50344576 lambda:0.003276
token:50355891 lambda:0.000001
token:16783479 lambda:0.218047
token:16798028 lambda:0.000495
token:16782976 lambda:0.000224
token:16812243 lambda:0.001059
token:16795640 lambda:0.000218
token:16821278 lambda:0.160987
token:16852950 lambda:0.000055
token:16806644 lambda:0.001093
token:16818089 lambda:0.000365
token:16783484 lambda:0.527610
token:16827069 lambda:0.000058
token:16870067 lambda:0.000008
token:16802139 lambda:0.148011
token:16788345 lambda:0.991026
token:16785705 lambda:0.404565
token:16806479 lambda:0.000198
token:16794758 lambda:0.000138
token:16812184 lambda:0.284007
token:16804002 lambda:0.000488
token:50351879 lambda:0.000471
token:16853522 lambda:0.042303
token:16785729 lambda:0.004386
token:16786440 lambda:0.004438
token:16804971 lambda:0.000882
token:50346321 lambda:0.000252
token:16789926 lambda:0.000365
token:16813979 lambda:0.007709
token:50334090 lambda:0.005562
token:50339743 lambda:0.000637
token:50357652 lambda:0.000005
token:50353194 lambda:0.000050
token:16781501 lambda:0.000023
token:50345946 lambda:0.000745
token:16810048 lambda:0.000062
token:50335942 lambda:0.002259
token:16827311 lambda:0.000577
token:50353267 lambda:0.000011
token:16822032 lambda:0.000001
token:16784480 lambda:0.000009
token:16827717 lambda:0.000445
token:16813518 lambda:0.000261
token:16831281 lambda:0.000068
token:50340544 lambda:0.000122
token:16784565 lambda:0.006677
token:16808158 lambda:0.000372
token:50356900 lambda:0.850858
token:50350872 lambda:0.000040
token:16783085 lambda:0.010091
token:16808320 lambda:0.000611
token:16777527 lambda:0.687447
token:16789387 lambda:0.000014
token:16791619 lambda:0.000086
token:16796140 lambda:0.000707
token:16805846 lambda:0.555824
token:16808833 lambda:0.001536
token:33554479 lambda:0.000248
token:50342566 lambda:0.000330
token:16815248 lambda:0.000368
token:16798719 lambda:0.001269
token:16785346 lambda:0.092607
token:16796980 lambda:0.000558
token:16820140 lambda:0.000005
token:16787563 lambda:0.000249
token:50341940 lambda:0.001236
token:50348974 lambda:0.000975
token:16841193 lambda:0.992248
token:16780390 lambda:0.599424
token:16866758 lambda:0.000050
token:33565887 lambda:0.696943
token:16869411 lambda:0.000001
token:16802351 lambda:0.000121
token:50357747 lambda:0.000233
token:16810605 lambda:0.035715
token:16822176 lambda:0.000517
token:16815338 lambda:0.997706
token:16797942 lambda:0.500300
token:16791375 lambda:0.000011
token:50357216 lambda:0.000202
token:16806788 lambda:0.021095
token:16786723 lambda:0.000240
token:16821517 lambda:0.000294
token:50343318 lambda:0.001557
token:16815522 lambda:0.000043
token:16798940 lambda:0.000332
token:50332942 lambda:0.998317
token:16788282 lambda:0.000718
token:16845978 lambda:0.000082
token:16815654 lambda:0.000556
token:16788337 lambda:0.000488
token:50336493 lambda:0.000559
token:16814413 lambda:0.002849
token:16780658 lambda:0.998886
token:16786012 lambda:0.999609
token:16854987 lambda:0.000240
token:16814210 lambda:0.000928
token:16800583 lambda:0.000012
token:50346780 lambda:0.000128
token:16803072 lambda:0.999614
token:16791195 lambda:0.000559
token:50351566 lambda:0.000388
token:16788380 lambda:0.057482
token:50357905 lambda:0.000016
token:50336307 lambda:0.000171
token:50356171 lambda:0.000601
token:50339988 lambda:0.000001
token:50359309 lambda:0.000003
token:16825397 lambda:0.000346
token:16780994 lambda:0.017745
token:16855606 lambda:0.000240
token:16834650 lambda:0.000240
token:16848148 lambda:0.000240
token:16838419 lambda:0.001143
token:16827736 lambda:0.000713
token:16790814 lambda:0.005339
token:16780612 lambda:0.240694
token:50338455 lambda:0.983046
token:50341026 lambda:0.000064
token:50348090 lambda:0.000226
token:50341240 lambda:0.000191
token:16865874 lambda:0.000240
token:16810296 lambda:0.000311
token:16819914 lambda:0.000121
token:16792749 lambda:0.000017
token:16817411 lambda:0.000064
token:16790200 lambda:0.268715
token:16800880 lambda:0.000506
token:16806076 lambda:0.000757
token:50337036 lambda:0.000214
token:50352628 lambda:0.000002
token:50357720 lambda:0.000001
token:16793872 lambda:0.000756
token:16806510 lambda:0.319068
token:50350246 lambda:0.000304
token:16805236 lambda:0.000129
token:16821519 lambda:0.000001
token:16812076 lambda:0.001347
token:16825047 lambda:0.000780
token:16792568 lambda:0.000145
token:16855690 lambda:0.000266
token:50340852 lambda:0.000304
token:16793369 lambda:0.268744
token:50336249 lambda:0.173122
token:50358571 lambda:0.000240
token:16800546 lambda:0.000423
token:16816277 lambda:0.000061
token:16790253 lambda:0.000144
token:50350935 lambda:0.000241
token:16778320 lambda:0.997906
token:16813272 lambda:0.000207
token:16830048 lambda:0.000200
token:50341140 lambda:0.003939
token:50359570 lambda:0.173006
token:16789878 lambda:0.000001
token:16779262 lambda:0.001269
token:16827623 lambda:0.000040
token:16798824 lambda:0.000189
token:16807299 lambda:0.000293
token:16803855 lambda:0.000012
token:16822931 lambda:0.000392
token:16799047 lambda:0.177687
token:16801336 lambda:0.000001
token:50336343 lambda:0.000240
token:16796067 lambda:0.000240
token:16800222 lambda:0.000398
token:50351559 lambda:0.000001
token:16784484 lambda:0.682557
token:16809229 lambda:0.000311
token:16781657 lambda:0.000461
token:16820091 lambda:0.198093
token:16811181 lambda:0.000889
token:16801751 lambda:0.039847
token:16789908 lambda:0.000884
token:16786752 lambda:0.038573
token:16800982 lambda:0.000240
token:16781834 lambda:0.000959
token:50335625 lambda:0.005464
token:16818474 lambda:0.000240
token:16791276 lambda:0.000564
token:16804211 lambda:0.336325
token:16828152 lambda:0.000909
token:50338569 lambda:0.994246
token:16783043 lambda:0.651355
token:16778907 lambda:0.007322
token:16810397 lambda:0.000322
token:16808276 lambda:0.000519
token:16787430 lambda:0.002136
token:16840870 lambda:0.000330
token:16848582 lambda:0.000240
token:50333355 lambda:0.017702
token:16814685 lambda:0.000579
token:16790532 lambda:0.000104
token:16789358 lambda:0.000643
token:16821627 lambda:0.000455
token:16866556 lambda:0.000078
token:50337429 lambda:0.000645
token:16788245 lambda:0.000463
token:16819794 lambda:0.000561
token:16823646 lambda:0.999663
token:16817763 lambda:0.000713
token:16797698 lambda:0.102603
token:16824251 lambda:0.032395
token:16826391 lambda:0.453245
token:16822183 lambda:0.001519
token:50350959 lambda:0.000240
token:16826971 lambda:0.000020
token:50342531 lambda:0.000439
token:16855951 lambda:0.500575
token:16807683 lambda:0.001620
token:16823211 lambda:0.538319
token:16863433 lambda:0.000124
token:50340588 lambda:0.001076
token:16786829 lambda:0.029908
token:50354240 lambda:0.000240
token:50347194 lambda:0.000452
token:50343155 lambda:0.000077
token:16822383 lambda:0.000047
token:50341379 lambda:0.000193
token:16792011 lambda:0.001914
token:16794853 lambda:0.352017
token:16788101 lambda:0.008736
token:50335925 lambda:0.454865
token:16787212 lambda:0.001008
token:16801971 lambda:0.559337
token:50352138 lambda:0.000097
token:16806842 lambda:0.000188
token:16817816 lambda:0.000932
token:16798322 lambda:0.000100
token:16814887 lambda:0.002380
token:50349864 lambda:0.001828
token:50350366 lambda:0.000496
token:16829029 lambda:0.000523
token:16797950 lambda:0.001891
token:16780469 lambda:0.000222
token:16826714 lambda:0.000001
token:16810808 lambda:0.000224
token:16870244 lambda:0.000052
token:50358618 lambda:0.000334
token:50353669 lambda:0.000001
token:50346376 lambda:0.001259
token:16827795 lambda:0.003047
token:16804992 lambda:0.001217
token:16789240 lambda:0.000251
token:16789838 lambda:0.000091
token:16817460 lambda:0.001927
token:16789243 lambda:0.000189
token:16788279 lambda:0.000398
token:16780886 lambda:0.297997
token:50334584 lambda:0.000072
token:16777381 lambda:0.000966
token:16815154 lambda:0.999989
token:16790170 lambda:0.003826
token:16797689 lambda:0.003156
token:16798062 lambda:0.000321
token:16802897 lambda:0.526573
token:16781087 lambda:0.000590
token:16781861 lambda:0.005977
token:16817243 lambda:0.000170
token:16813395 lambda:0.000136
token:16789004 lambda:0.000374
token:50352099 lambda:0.000001
token:16796227 lambda:0.000032
token:50344391 lambda:0.039143
token:50339301 lambda:0.000333
token:50353383 lambda:0.000850
token:16816154 lambda:0.001340
token:16787616 lambda:0.001868
token:16868766 lambda:0.000200
token:50340536 lambda:0.000043
token:16812688 lambda:0.000240
token:50338079 lambda:0.000126
token:16867078 lambda:0.002674
token:16794625 lambda:0.000403
token:16805107 lambda:0.000683
token:33562424 lambda:0.004442
token:50350383 lambda:0.000085
token:16796943 lambda:0.192475
token:16815132 lambda:0.000775
token:16829123 lambda:0.000079
token:16790017 lambda:0.001767
token:16791083 lambda:0.000001
token:16792078 lambda:0.000438
token:50345337 lambda:0.000989
token:16790676 lambda:0.000266
token:16782787 lambda:0.562784
token:50349358 lambda:0.963380
token:50335472 lambda:0.000003
token:16852140 lambda:0.000240
token:16787169 lambda:0.003604
token:16792033 lambda:0.001529
token:16841838 lambda:0.000320
token:16808050 lambda:0.000201
token:50337439 lambda:0.000084
token:16781357 lambda:0.712741
token:50342161 lambda:0.233474
token:16787381 lambda:0.000604
token:16785164 lambda:0.008179
token:16825533 lambda:0.000069
token:50335766 lambda:0.995892
token:16798434 lambda:0.000340
token:50336216 lambda:0.000403
token:50349662 lambda:0.000001
token:16793532 lambda:0.000016
token:16803220 lambda:0.000293
token:16806831 lambda:0.000123
token:16813487 lambda:0.000041
token:16791728 lambda:0.000229
token:16858598 lambda:0.004604
token:16823696 lambda:0.000042
token:50346945 lambda:0.312705
token:16784717 lambda:0.003199
token:50336147 lambda:0.000447
token:16785646 lambda:0.999983
token:16781220 lambda:0.009011
token:50355929 lambda:0.001296
token:16796174 lambda:0.002064
token:16800964 lambda:0.000341
token:50357715 lambda:0.000240
token:16811754 lambda:0.598247
token:16826453 lambda:0.000001
token:16835669 lambda:0.000240
token:16789262 lambda:0.000057
token:16811885 lambda:0.000981
token:50338838 lambda:0.000038
token:16812952 lambda:0.000016
token:16800390 lambda:0.000021
token:16795586 lambda:0.000001
token:50354359 lambda:0.001359
token:16780763 lambda:0.004305
token:16787672 lambda:0.000343
token:50345784 lambda:0.000240
token:16825705 lambda:0.000958
token:50353317 lambda:0.000001
token:16830569 lambda:0.000320
token:16829204 lambda:0.000169
token:16796444 lambda:0.001753
token:16804676 lambda:0.001315
token:16812162 lambda:0.999619
token:16781771 lambda:0.258740
token:16779884 lambda:0.000456
token:50334774 lambda:0.990147
token:50357827 lambda:0.000612
token:16805684 lambda:0.000819
token:16783152 lambda:0.006239
token:50339100 lambda:0.049556
token:16807490 lambda:0.000284
token:50335608 lambda:0.000105
token:16798121 lambda:0.000159
token:16810760 lambda:0.007573
token:16844836 lambda:0.000240
token:16822498 lambda:0.000880
token:16788442 lambda:0.001002
token:50351666 lambda:0.000134
token:16794653 lambda:0.000260
token:16799822 lambda:0.000179
token:16845301 lambda:0.000132
token:16819316 lambda:0.000104
token:16858187 lambda:0.000240
token:50358655 lambda:0.000282
token:16785904 lambda:0.002555
token:16801573 lambda:0.000514
token:50341916 lambda:0.215061
token:16795271 lambda:0.000277
token:16811657 lambda:0.000240
token:16801237 lambda:0.000973
token:16780163 lambda:0.015246
token:16791990 lambda:0.072437
token:16823894 lambda:0.999982
token:16785611 lambda:0.000598
token:16805246 lambda:0.000136
token:16822916 lambda:0.000139
token:16785839 lambda:0.000099
token:16805009 lambda:0.027885
token:16828368 lambda:0.000758
token:50349851 lambda:0.990148
token:16818640 lambda:0.001249
token:16789869 lambda:0.628523
token:50337159 lambda:0.000240
token:16789952 lambda:0.558489
token:16829299 lambda:0.000027
token:16807118 lambda:0.367531
token:16803528 lambda:0.000014
token:16868707 lambda:0.000240
token:16787145 lambda:0.000070
token:16785527 lambda:0.304263
token:16812989 lambda:0.736274
token:16822433 lambda:0.000149
token:16812744 lambda:0.000951
token:16803894 lambda:0.353716
token:50342949 lambda:0.000335
token:16810059 lambda:0.000104
token:50348084 lambda:0.000277
token:16786163 lambda:0.108663
token:50343034 lambda:0.000039
token:16794557 lambda:0.000852
token:16813091 lambda:0.001891
token:16815173 lambda:0.000042
token:16828380 lambda:0.000159
token:16802174 lambda:0.000006
token:16790907 lambda:0.000087
token:16815481 lambda:0.000509
token:50345194 lambda:0.000564
token:50336875 lambda:0.000471
token:50343217 lambda:0.054645
token:16810000 lambda:0.000056
token:16813782 lambda:0.002603
token:50341344 lambda:0.000284
token:50348594 lambda:0.000347
token:50350045 lambda:0.000818
token:16811334 lambda:0.000993
token:16826459 lambda:0.001006
token:16826008 lambda:0.000091
token:16818649 lambda:0.000378
token:16829633 lambda:0.000005
token:16810932 lambda:0.000342
token:16781900 lambda:0.974211
token:50335721 lambda:0.000383
token:16794125 lambda:0.002692
token:16778106 lambda:0.000231
token:16866553 lambda:0.000735
token:16793923 lambda:0.000200
token:16807637 lambda:0.000135
token:16792261 lambda:0.983046
token:16805649 lambda:0.009959
token:16782173 lambda:0.000391
token:16788598 lambda:0.000194
token:16778360 lambda:0.000724
token:16868540 lambda:0.000540
token:50356736 lambda:0.000240
token:16791509 lambda:0.000538
token:50356903 lambda:0.000074
token:16793929 lambda:0.000866
token:16802362 lambda:0.000240
token:16791413 lambda:0.001658
token:16798773 lambda:0.000504
token:50352010 lambda:0.000516
token:50353932 lambda:0.000240
token:16797188 lambda:0.002752
token:16860623 lambda:0.991697
token:50356013 lambda:0.002883
token:50339466 lambda:0.000512
token:16858119 lambda:0.000108
token:16789619 lambda:0.003473
token:16802234 lambda:0.000505
token:50338219 lambda:0.000126
token:16808875 lambda:0.000162
token:33562990 lambda:0.478286
token:16839318 lambda:0.000001
token:16868275 lambda:0.001564
token:16806953 lambda:0.000282
token:16860168 lambda:0.001056
token:16800908 lambda:0.002831
token:16796207 lambda:0.001293
token:16829549 lambda:0.082495
token:16811272 lambda:0.001032
token:16793797 lambda:0.039916
token:16813957 lambda:0.001385
token:16823330 lambda:0.001100
token:16785152 lambda:0.999835
token:50333499 lambda:0.000057
token:16808432 lambda:0.000443
token:16801961 lambda:0.004164
token:50343984 lambda:0.000733
token:16786431 lambda:0.003977
token:16814721 lambda:0.000562
token:16788669 lambda:0.036060
token:16820070 lambda:0.000503
token:16850329 lambda:0.000240
token:16799403 lambda:0.000053
token:16801636 lambda:0.006389
token:16813474 lambda:0.000160
token:16828384 lambda:0.000530
token:16840182 lambda:0.000240
token:16784632 lambda:0.000722
token:16828013 lambda:0.000943
token:16791318 lambda:0.000464
token:16797175 lambda:0.705772
token:16826850 lambda:0.001577
token:50352160 lambda:0.000020
token:50353648 lambda:0.000200
token:16820676 lambda:0.001163
token:50335824 lambda:0.995620
token:16824913 lambda:0.000426
token:50346831 lambda:0.000457
token:16804731 lambda:0.000539
token:16783949 lambda:0.001381
token:16777537 lambda:0.047633
token:16803457 lambda:0.000191
token:16786450 lambda:0.025354
token:50358627 lambda:0.001001
token:16805011 lambda:0.179704
token:50354467 lambda:0.998506
token:16801414 lambda:0.001572
token:16850786 lambda:0.998450
token:16798972 lambda:0.011056
token:16824819 lambda:0.000352
token:16806121 lambda:0.000081
token:16830941 lambda:0.998193
token:16805758 lambda:0.000517
token:50352960 lambda:0.000048
token:16804847 lambda:0.004496
token:16789612 lambda:0.999657
token:16792893 lambda:0.000149
token:16780384 lambda:0.002787
token:16795948 lambda:0.175757
token:50345837 lambda:0.000006
token:16795785 lambda:0.000453
token:16822811 lambda:0.992330
token:16791181 lambda:0.000657
token:16797204 lambda:0.000739
token:50347714 lambda:0.039398
token:50337834 lambda:0.996081
token:16779286 lambda:0.002018
token:50355204 lambda:0.000208
token:16808783 lambda:0.000001
token:16796648 lambda:0.714124
token:50346676 lambda:0.004707
token:50342197 lambda:0.000172
token:50350201 lambda:0.000001
token:50343462 lambda:0.046868
token:16803790 lambda:0.185116
token:33565473 lambda:0.000009
token:16868509 lambda:0.000143
token:50337032 lambda:0.000184
token:50359463 lambda:0.000016
token:50336990 lambda:0.000080
token:16783964 lambda:0.004535
token:16834750 lambda:0.000331
token:16793754 lambda:0.000184
token:16801738 lambda:0.000802
token:16801360 lambda:0.000100
token:16808697 lambda:0.000085
token:16813040 lambda:0.000599
token:16784855 lambda:0.006934
token:16813541 lambda:0.000401
token:50359438 lambda:0.000168
token:16862759 lambda:0.000293
token:16810285 lambda:0.000462
token:50336960 lambda:0.440054
token:16818923 lambda:0.000427
token:16821807 lambda:0.001689
token:16815404 lambda:0.000612
token:16836681 lambda:0.000273
token:50336107 lambda:0.001637
token:16820897 lambda:0.000010
